county,year,source,target,units,value
Fulton,2022,Petroleum,On-Site Backup Generation,EJ,2.1311e-6
Fulton,2022,Solar,Distributed-scale Generation,EJ,4.492375679999999e-6
Fulton,2023,Biomass,Distributed-scale Generation,EJ,1.009213e-5
Fulton,2023,Energy Storage,Distributed-scale Generation,EJ,0
Fulton,2023,Hydroelectric,Utility-scale Generation,EJ,1.0509927302e-4
Fulton,2023,Natural Gas,Distributed-scale Generation,EJ,4.63897215e-4
Fulton,2023,Natural Gas,On-Site Backup Generation,EJ,0
Fulton,2023,Petroleum,Distributed-scale Generation,EJ,4.431e-8
Fulton,2023,Petroleum,On-Site Backup Generation,EJ,1.7291449999999999e-6
Fulton,2023,Solar,Distributed-scale Generation,EJ,3.80844028e-6
Fulton,2024,Biomass,Distributed-scale Generation,EJ,2.653325e-6
Fulton,2024,Energy Storage,Distributed-scale Generation,EJ,0
Fulton,2024,Hydroelectric,Utility-scale Generation,EJ,1.1361246892e-4
Fulton,2024,Natural Gas,Distributed-scale Generation,EJ,3.9340844500000005e-4
Fulton,2024,Petroleum,Distributed-scale Generation,EJ,3.0595e-8
Fulton,2024,Petroleum,On-Site Backup Generation,EJ,1.507595e-6
Fulton,2024,Solar,Distributed-scale Generation,EJ,3.7976412999999998e-06
Gwinnett,2020,Biomass,Distributed-scale Generation,EJ,7.4785785e-4
Gwinnett,2021,Biomass,Distributed-scale Generation,EJ,7.6047354e-4
Gwinnett,2022,Biomass,Distributed-scale Generation,EJ,6.06427715e-4
Gwinnett,2023,Biomass,Distributed-scale Generation,EJ,7.54545495e-4
Gwinnett,2024,Biomass,Distributed-scale Generation,EJ,7.21264465e-4
Rockdale,2020,Hydroelectric,Utility-scale Generation,EJ,5.92504036e-6
Bartow,2020,Bowen Plant,electricity,EJ,0.028686726
Bartow,2020,Utility-scale Generation,electricity,EJ,6.792228e-4
Bartow,2021,Bowen Plant,electricity,EJ,0.0340275852
Bartow,2021,Utility-scale Generation,electricity,EJ,6.090372e-4
Bartow,2022,Bowen Plant,electricity,EJ,0.030514147199999998
Bartow,2022,Utility-scale Generation,electricity,EJ,5.268996e-4
Bartow,2023,Bowen Plant,electricity,EJ,0.0368211348
Bartow,2023,On-Site Backup Generation,commercial,EJ,3.1284e-6
Bartow,2023,Utility-scale Generation,electricity,EJ,4.0154759999999997e-4
Bartow,2024,Bowen Plant,electricity,EJ,0.0385644744
Bartow,2024,On-Site Backup Generation,commercial,EJ,2.1438e-5
Bartow,2024,Utility-scale Generation,electricity,EJ,4.409352e-4
Cobb,2020,Distributed-scale Generation,electricity,EJ,2.5055999999999998e-6
Cobb,2020,Jack McDonough,electricity,EJ,0.067358322
Cobb,2021,Distributed-scale Generation,electricity,EJ,8.064e-6
Cobb,2021,Jack McDonough,electricity,EJ,0.06564750479999999
Cobb,2022,Distributed-scale Generation,electricity,EJ,8.4564e-6
Cobb,2022,Jack McDonough,electricity,EJ,0.0663427836
Cobb,2023,Distributed-scale Generation,electricity,EJ,8.254800000000001e-6
Cobb,2023,Jack McDonough,electricity,EJ,0.06416849159999999
Cobb,2024,Distributed-scale Generation,electricity,EJ,8.1828e-6
Cobb,2024,Jack McDonough,electricity,EJ,0.0647548416
Coweta,2020,Yates Plant,electricity,EJ,0.0081052452
Coweta,2021,Yates Plant,electricity,EJ,0.0045492048
Coweta,2022,Yates Plant,electricity,EJ,0.0049740228
Coweta,2023,Yates Plant,electricity,EJ,0.0080610516
Coweta,2024,Yates Plant,electricity,EJ,0.007544232
DeKalb,2020,Distributed-scale Generation,electricity,EJ,6.3432e-6
DeKalb,2020,On-Site Backup Generation,commercial,EJ,9.36e-8
DeKalb,2021,Distributed-scale Generation,electricity,EJ,8.424e-7
DeKalb,2021,On-Site Backup Generation,commercial,EJ,1.116e-7
DeKalb,2022,Distributed-scale Generation,electricity,EJ,4.212e-7
DeKalb,2022,On-Site Backup Generation,commercial,EJ,1.8e-7
DeKalb,2024,On-Site Backup Generation,commercial,EJ,1.8e-7
Douglas,2022,Distributed-scale Generation,electricity,EJ,1.9206e-5
Douglas,2023,Distributed-scale Generation,electricity,EJ,1.88892e-5
Douglas,2024,Distributed-scale Generation,electricity,EJ,1.91484e-5
Forsyth,2020,Utility-scale Generation,electricity,EJ,0.0010594044
Forsyth,2021,Utility-scale Generation,electricity,EJ,8.121384e-4
Forsyth,2022,Utility-scale Generation,electricity,EJ,7.076052e-4
Forsyth,2023,Utility-scale Generation,electricity,EJ,5.981976e-4
Forsyth,2024,Utility-scale Generation,electricity,EJ,5.296572e-4
Fulton,2020,Distributed-scale Generation,electricity,EJ,1.440468e-4
Fulton,2020,On-Site Backup Generation,commercial,EJ,7.38e-7
Fulton,2020,Utility-scale Generation,electricity,EJ,1.5477119999999999e-4
Fulton,2021,Distributed-scale Generation,electricity,EJ,1.815372e-4
Fulton,2021,On-Site Backup Generation,commercial,EJ,5.04e-7
Fulton,2021,Utility-scale Generation,electricity,EJ,1.682244e-4
