county,basin,area_sqkm,share_pct
Bartow,Coosa_Etowah,1201.2603770338023,100
Cherokee,Coosa_Etowah,1122.0730274106086,99.60907365687228
Cherokee,Chattahoochee,4.403694254189326,0.3909263431277295
Clayton,Flint,211.9644724223362,64.02630407003083
Clayton,Ocmulgee,118.70335690931888,35.855712689748685
Clayton,Chattahoochee,0.3905934542255881,0.11798324022047706
Cobb,Chattahoochee,599.5347156415387,68.0707605497252
Cobb,Coosa_Etowah,281.2174763419532,31.92923945027481
Coweta,Chattahoochee,655.1565499474642,55.46426759111385
Coweta,Flint,526.0662055341741,44.53573240888616
DeKalb,Ocmulgee,484.81887106466957,70.0326142370685
DeKalb,Chattahoochee,207.45697262081913,29.967385762931514
Douglas,Chattahoochee,508.888098018815,100
Fayette,Flint,502.980719510565,99.99999999999999
Forsyth,Chattahoochee,458.4735167495099,71.3671231651856
Forsyth,Coosa_Etowah,183.9420612027243,28.6328768348144
Fulton,Chattahoochee,1119.7399177115692,77.31719405322592
Fulton,Flint,137.70454490603913,9.508394629951832
Fulton,Coosa_Etowah,112.91034804349455,7.796374097422203
Fulton,Ocmulgee,77.88698267238154,5.37803721940005
Gwinnett,Ocmulgee,693.7011644084686,62.53390310450379
Gwinnett,Chattahoochee,286.38105647563043,25.81590770700727
Gwinnett,Oconee,129.2378918380943,11.650189188488941
Hall,Chattahoochee,694.3823834975833,62.980264069523066
Hall,Oconee,402.496532063579,36.50630902925216
Hall,Broad,5.660735163489891,0.5134269012247614
Henry,Ocmulgee,806.9916159282768,92.9474442743561
Henry,Flint,61.231950871744594,7.052555725643899
Paulding,Coosa_Etowah,484.8325273510428,60.53190068017938
Paulding,Chattahoochee,227.55983517488167,28.411108093064087
Paulding,Tallapoosa,88.5613856682022,11.056991226756534
Rockdale,Ocmulgee,334.503618173311,99.99999999999999
