county,year,Single Family,Multifamily,Residential,Commercial,Institutional,Industrial,Municipal,Irrigation,Agricultural,Other,Self Supplied,New Commercial,Anheuser-Busch,NRW
Bartow,2060,8.8565964,0.929088781,,1.479911749,,8.225806887,,0.089221717,0.051678573,,0.573654504,,3.873141614,11.48573081
Bartow,2061,8.93610903,0.937429941,,1.49319808,,8.299656423,,0.090022731,0.052142532,,0.578804652,,3.907913851,11.58884724
Bartow,2062,9.019927106,0.946222759,,1.507203839,,8.377504761,,0.090867118,0.052631613,,0.584233669,,3.944568935,11.69754722
Bartow,2063,9.097864723,0.954398695,,1.52022699,,8.449891461,,0.091652264,0.053086382,,0.589281801,,3.978652392,11.7986211
Bartow,2064,9.178157534,0.962821699,,1.533643688,,8.524465612,,0.092461137,0.053554894,,0.594482482,,4.013765817,11.90274932
Bartow,2065,9.260422331,0.971451572,,1.547389899,,8.600871299,,0.093289876,0.054034912,,0.599810891,,4.049741624,12.00943492
Cherokee,2020,12.8995797,1.720293947,,0.699839114,0.169556379,0.684393493,,0.768104832,0.225410442,0.517191405,0.717517513,0.001658118,,3.711239416
Cherokee,2021,13.11211291,1.748637474,,0.711369649,0.172349986,0.695669546,,0.780760112,0.2291243,0.52571264,0.729339317,0.001685437,,3.772385719
Cherokee,2022,13.3063235,1.774537488,,0.721906129,0.174902755,0.705973483,,0.792324371,0.232517983,0.533499254,0.740141955,0.001710401,,3.828260561
Cherokee,2023,13.48546013,1.798427233,,0.731624804,0.177257387,0.715477665,,0.802991053,0.235648261,0.540681498,0.750106131,0.001733427,,3.879798593
Cherokee,2024,13.65692961,1.821294482,,0.740927514,0.179511239,0.724575062,,0.813201195,0.238644561,0.547556337,0.759643833,0.001755468,,3.929130765
Cherokee,2025,13.82919143,1.844267399,,0.750273211,0.181775506,0.733714497,,0.823458517,0.241654707,0.554462945,0.769225608,0.001777611,,3.978690896
