data_status,msn,statecode,year,data
2024,B1PRB,GA,2023,0
2024,B1PRB,GA,2024,0
2024,B1PRP,GA,2020,0
2024,B1PRP,GA,2021,0
2024,B1PRP,GA,2022,0
2024,B1PRP,GA,2023,0
2024,B1PRP,GA,2024,0
2024,B1RIB,GA,2020,0
2024,B1RIB,GA,2021,0
2024,B1RIB,GA,2022,0
2024,B1RIB,GA,2023,0
2024,B1RIB,GA,2024,0
2024,B1RIP,GA,2020,0
2024,B1RIP,GA,2021,0
2024,B1RIP,GA,2022,0
2024,B1RIP,GA,2023,0
2024,B1RIP,GA,2024,0
2024,B1TCB,GA,2020,0
2024,B1TCB,GA,2021,0
2024,B1TCB,GA,2022,0
2024,B1TCB,GA,2023,0
2024,B1TCB,GA,2024,0
2024,B1TCP,GA,2020,0
2024,B1TCP,GA,2021,0
2024,B1TCP,GA,2022,0
2024,B1TCP,GA,2023,0
2024,B1TCP,GA,2024,0
2024,BDABB,GA,2020,2325
2024,BDABB,GA,2021,2008
2024,BDABB,GA,2022,1739
2024,BDABB,GA,2023,2347
2024,BDABB,GA,2024,2182
2024,BDABP,GA,2020,434
2024,BDABP,GA,2021,375
2024,BDABP,GA,2022,325
2024,BDABP,GA,2023,438
2024,BDABP,GA,2024,407
2024,BDACB,GA,2020,5968
2024,BDACB,GA,2021,4717
2024,BDACB,GA,2022,4204
2024,BDACB,GA,2023,6331
2024,BDACB,GA,2024,6219
2024,BDACP,GA,2020,1114
2024,BDACP,GA,2021,880
2024,BDACP,GA,2022,784
2024,BDACP,GA,2023,1181
2024,BDACP,GA,2024,1160
2024,BDAUB,GA,2021,2710
2024,BDAUB,GA,2022,2465
2024,BDAUB,GA,2023,3984
2024,BDAUB,GA,2024,4037
2024,BDAUP,GA,2021,506
2024,BDAUP,GA,2022,460
2024,BDAUP,GA,2023,743
2024,BDAUP,GA,2024,753
2024,BDCBB,GA,2020,0
2024,BDCBB,GA,2021,0
2024,BDCBB,GA,2022,0
2024,BDCBB,GA,2023,0
2024,BDCBB,GA,2024,0
2024,BDCBP,GA,2020,0
2024,BDCBP,GA,2021,0
2024,BDCBP,GA,2022,0
2024,BDCBP,GA,2023,0
2024,BDCBP,GA,2024,0
2024,BDCCB,GA,2020,0
2024,BDCCB,GA,2021,0
2024,BDCCB,GA,2022,0
2024,BDCCB,GA,2023,0
2024,BDCCB,GA,2024,0
2024,BDCCP,GA,2020,0
2024,BDCCP,GA,2021,0
2024,BDCCP,GA,2022,0
2024,BDCCP,GA,2023,0
2024,BDCCP,GA,2024,0
2024,BDCUB,GA,2021,0
2024,BDCUB,GA,2022,0
2024,BDCUB,GA,2023,0
2024,BDCUB,GA,2024,0
2024,BDCUP,GA,2021,0
2024,BDCUP,GA,2022,0
2024,BDCUP,GA,2023,0
2024,BDCUP,GA,2024,0
2024,BDEIB,GA,2020,12
2024,BDEIB,GA,2021,8
2024,BDEIB,GA,2022,7
2024,BDEIB,GA,2023,4
2024,BDEIB,GA,2024,8
2024,BDEIK,GA,2020,5.201
2024,BDEIK,GA,2021,5.2
2024,BDEIK,GA,2022,5.199
2024,BDEIK,GA,2023,5.199
2024,BDEIK,GA,2024,5.188
2024,BDEIP,GA,2020,2
2024,BDEIP,GA,2021,2
2024,BDEIP,GA,2022,1
2024,BDEIP,GA,2023,1
2024,BDEIP,GA,2024,2
2024,BDEUB,GA,2021,8
2024,BDEUB,GA,2022,7
2024,BDEUB,GA,2023,4
2024,BDEUB,GA,2024,8
2024,BDEUP,GA,2021,2
2024,BDEUP,GA,2022,1
2024,BDEUP,GA,2023,1
2024,BDEUP,GA,2024,2
2024,BDFDB,GA,2020,1327
2024,BDFDB,GA,2021,1908
2024,BDFDB,GA,2022,438
2024,BDFDB,GA,2023,18
2024,BDFDB,GA,2024,0
2024,BDLCB,GA,2020,18
2024,BDLCB,GA,2021,26
2024,BDLCB,GA,2022,6
2024,BDLCB,GA,2023,0
2024,BDLCB,GA,2024,0
2024,BDPRP,GA,2020,244
2024,BDPRP,GA,2021,351
2024,BDPRP,GA,2022,81
2024,BDPRP,GA,2023,3
2024,BDPRP,GA,2024,0
2024,BDRBB,GA,2020,0
2024,BDRBB,GA,2021,0
2024,BDRBB,GA,2022,0
2024,BDRBB,GA,2023,0
2024,BDRBB,GA,2024,0
2024,BDRBP,GA,2020,0
2024,BDRBP,GA,2021,0
2024,BDRBP,GA,2022,0
2024,BDRBP,GA,2023,0
2024,BDRBP,GA,2024,0
2024,BDRCB,GA,2020,0
2024,BDRCB,GA,2021,0
2024,BDRCB,GA,2022,0
2024,BDRCB,GA,2023,0
2024,BDRCB,GA,2024,0
2024,BDRCP,GA,2020,0
2024,BDRCP,GA,2021,0
2024,BDRCP,GA,2022,0
2024,BDRCP,GA,2023,0
2024,BDRCP,GA,2024,0
2024,BDRIB,GA,2020,2325
2024,BDRIB,GA,2021,2008
2024,BDRIB,GA,2022,1739
2024,BDRIB,GA,2023,2347
2024,BDRIB,GA,2024,2182
2024,BDRIP,GA,2020,434
2024,BDRIP,GA,2021,375
2024,BDRIP,GA,2022,325
2024,BDRIP,GA,2023,438
2024,BDRIP,GA,2024,407
2024,BDRUB,GA,2021,0
2024,BDRUB,GA,2022,0
2024,BDRUB,GA,2023,0
2024,BDRUB,GA,2024,0
2024,BDRUP,GA,2021,0
2024,BDRUP,GA,2022,0
2024,BDRUP,GA,2023,0
2024,BDRUP,GA,2024,0
