Facility Name,County,Water Source,Fuel Type,Capacity (MW),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,units,gentype
Bowen,Bartow,Etowah River,Coal,3376,831847.82,424829.59,519986.18,768505.28,1166051.48,1346706.2,1626041.5,1417032.83,1520663.52,589360.56,749651.38,1008664.4,256178.47,275610.74,389957.43,364678,222942.1,366683.36,1095874.39,1750594.23,1081600.8,523576.71,917693.65,1516062.81,1039636.57,1494432.69,469991,567253.23,894042.89,1622978.31,1018018.77,1515039.16,947533.57,433565.5,246976.06,92202.66,987425.8,772342.19,891500.8,652054.66,896233.71,1184966.56,364883.45,621228.97,572467.54,377011.14,754954.48,1231485.41,573002.95,543817.3,731456.41,757479.3,848930.39,1025862,1535456.38,1673355.16,1016768.4,779142.8,719168.36,966198.05,1286328.46,783487.04,481689.64,766342.86,795223.03,1448082.58,1514060.79,1503880.89,1146437.27,653654.47,542101.12,791532.11,MWh,gross
Jack McDonough,Cobb,Chattahoochee River,Gas,2520,1623568.81,1343399.66,1499085.54,1517886.66,1692281.01,1655345.26,1762517.74,1750496.66,1624289.69,1534298.02,1644726.06,1708375.56,1755210.62,1694504,1510709.71,1238110.9,1613472.85,1685614.82,1753878,1730818.93,1243353.12,1323858.76,1659077.88,1766027.87,1745642,1408487.46,1198445.08,1646377.78,1494450.18,1601571.51,1686626,1691489.72,1285749,1511447.3,1441194.21,1770035.09,1749373.45,1392930.21,1267855.42,1451675.22,1480828.43,1685385.94,1722479.54,1719665.17,1595082.52,1332221.67,1682739,1601741.05,1700874.36,1590904,1362884.6,1159926.91,1659380.58,1662529.31,1711648.01,1665659.52,1576846.51,1122806.86,1215904.18,1637157.66,1779013.26,1601132.43,1403458,1329475.57,1679703.41,1689243.55,1780390.66,1778409.23,1380023.79,1225545.25,1182335.76,1411892.2,MWh,gross
Yates,Coweta,Chattahoochee River,Gas,724,32115.22,,140594.33,262155.99,282916.4,288120.18,377781.04,347447,173010.78,36618.86,87148.93,167016.97,113895.09,146441.16,257651.5,182883.04,207178.21,325025,349663.68,275194.41,225809.64,187341.87,67206.92,89384.21,53444.57,19183.38,121721,138483.04,152886.9,164065,164606,195763.46,167634.5,63798.7,69973,118774.42,137965.24,49672.68,15817.16,15214.16,96031.65,214544,208997.3,201079.34,133592,170364,122287.6,167884.8,69068.75,174304,250811.24,275539.57,212243.39,300953.9,333523.22,329963.52,228046.92,75879.08,41665.57,88877.66,124279.3,21477.92,80786,179457.11,63710.26,104518.56,306971.24,322470,243866.25,303853.71,283293.56,186503.48,MWh,gross
Bowen,Bartow,Etowah River,Coal,3376,761287.003,379343,467932.004,705459.999,1078311.957,1242559.025,1506087.006,1306622.99,1401777.032,532219.004,684391.003,921097.005,217839,240876,347690.997,325228,192669.999,328847.002,1001383.003,1611936.047,991456.996,474934.002,840502.999,1395171.008,950575.996,1376031.986,425416.005,512138.999,813974.996,1496910.987,929368.998,1393414.954,871665.005,393982.001,217943.002,70683,907226.999,703427,813523.005,590375.005,819012.996,1087149.029,321587.001,565334.999,513549.997,332622.997,688331,1134011.967,516745.996,489089.005,664863.999,692729.003,775286.998,939868.005,1414425.968,1541125.002,936083.002,711593.999,657817.998,888464,1181045.979,714114,430727.996,697498.001,722413.996,1330737.969,1392161.015,1383791.018,1051779.007,593005.997,488635.001,726443.998,MWh,net
Jack McDonough,Cobb,Chattahoochee River,Gas,2520,1606361,1324090,1477943,1493754,1666129,1630835,1735178,1722811,1598346,1507692,1623065,1685646,1733314,1671327,1482466,1215926,1588114,1660616,1730568,1706778,1223275,1304852,1642008,1751401,1731058,1393052,1180502,1623974,1471889,1577724,1661719,1666948,1266160,1489125,1425144.998,1748122,1735597,1376895,1246881,1429884,1457885,1660521,1698574,1694010,1571004,1311722,1662604,1582974,1680185,1570255,1343124.998,1142082,1636750,1641311,1688070,1642226,1555308,1107365,1200377,1617527.019,1755637.002,1579281,1381327,1308930,1656549,1666385,1756289,1754207,1359447,1209592,1168122,1391690,MWh,net
Yates,Coweta,Chattahoochee River,Gas,724,26400,-1614,127419,246171,267333,271361,359361,329234,162850,34344,77979,152248,102082,131838,239444,167679,190460,306675,332056,258846,210906,172848,59998,78625,44977,15166,104543,121091,136243,146131,145928,177630,149456,56347,60288,105868,122011,40878,12227,12528,85942,197423,191330,183282,117063,155613,109909,153467,59820,161294,235854,261214,199415,286411,318591,314673,213774,70093,37881,80161,,,,,,,,,,,,,MWh,net
