year,source,target,units,value
2021,Biomass,industrial,PJ,100.06986689981433
2021,Biomass,residential,PJ,2.56161315326592
2021,Biomass,transport,PJ,20.673634224679994
2021,Bowen Plant,Disposal,MGD,21.4
2021,Bowen Plant,Energy Losses,PJ,60.82663341899998
2021,Bowen Plant,Water Losses,MGD,7
2021,Bowen Plant,elec_own_use,PJ,3.202428276000001
2021,Bowen Plant,electricity,PJ,34.027585200000004
2021,Coal,Bowen Plant,PJ,97.84400848
2021,Coal,industrial,PJ,3.9991800960215196
2021,Energy Storage,Small-scale generation,PJ,0
2021,Jack McDonough,Energy Losses,PJ,67.82410751199998
2021,Jack McDonough,elec_own_use,PJ,0.8859503880000175
2021,Jack McDonough,electricity,PJ,65.6475048
2021,Jack McDonough Plant,Disposal,MGD,3.3000000000000007
2021,Jack McDonough Plant,Water Losses,MGD,8.1
2021,Natural Gas,Jack McDonough,PJ,134.346743675
2021,Natural Gas,On-Site Backup Generation,PJ,0
2021,Natural Gas,Small-scale generation,PJ,0.39360573
2021,Natural Gas,Yates Plant,PJ,15.692581675000001
2021,Natural Gas,commercial,PJ,30.036277954577724
2021,Natural Gas,industrial,PJ,91.66982548842714
2021,Natural Gas,residential,PJ,71.67557801745265
2021,Natural Gas,transport,PJ,4.4642266654679466
2021,Petroleum,Bowen Plant,PJ,0.212638415
2021,Petroleum,Jack McDonough,PJ,0.010819025
2021,Petroleum,Small-scale generation,PJ,0.00251723
2021,Petroleum,Yates Plant,PJ,0
2021,Petroleum,commercial,PJ,13.60591817457418
2021,Petroleum,industrial,PJ,45.015846718760834
2021,Petroleum,residential,PJ,4.351822044416915
2021,Petroleum,transport,PJ,469.8750091242215
2021,Renewables,Small-scale generation,PJ,1.60307618406
2021,Renewables,commercial,PJ,0.12874912296091684
2021,Renewables,industrial,PJ,0.003988898666206823
2021,Renewables,residential,PJ,0.46516678273654155
2021,Small-scale generation,commercial,PJ,6.156e-4
2021,Small-scale generation,electricity,PJ,2.017746
2021,Yates Plant,Disposal,MGD,12.5
2021,Yates Plant,Energy Losses,PJ,10.543379383000001
2021,Yates Plant,Water Losses,MGD,2.2
2021,Yates Plant,elec_own_use,PJ,0.5999974920000003
2021,Yates Plant,electricity,PJ,4.5492048
2021,agricultural,Water Losses,MGD,1.9564739569730423
2021,agricultural,wastewater,MGD,0
2021,commercial,Water Losses,MGD,38.79538551166182
2021,commercial,energy_services,PJ,67.07942155888871
2021,commercial,rejected_energy,PJ,36.11968853170931
2021,commercial,wastewater,MGD,90.22606717905965
2021,electricity,Bowen Plant,PJ,0.020437268633608816
2021,electricity,Energy Losses,PJ,9.575729164766068
2021,electricity,Jack McDonough Plant,PJ,0.008203692338842975
2021,electricity,Yates Plant,PJ,0.01057844538429752
2021,electricity,agricultural,PJ,0.0015820960192837465
2021,electricity,commercial,PJ,58.93440151377602
2021,electricity,en4water,PJ,3.6441014775240332
2021,electricity,government,PJ,0.5938329549426152
2021,electricity,in-county treatment,PJ,1.8622089943721465
2021,electricity,industrial,PJ,43.797422534913615
2021,electricity,publicWatSup,PJ,1.2993650825989853
2021,electricity,residential,PJ,52.41193610624255
2021,electricity,transport,PJ,0.26882911034160295
2021,electricity,ww_exports,PJ,0.3866882798709216
2021,en4water,energy_services,PJ,2.3686659603906217
2021,en4water,rejected_energy,PJ,1.2754355171334117
2021,government,energy_services,PJ,0.38599142071269993
2021,government,rejected_energy,PJ,0.2078415342299153
2021,groundwaterAllBasins,agricultural,MGD,1.688
2021,groundwaterAllBasins,industrial,MGD,6.217749999999998
2021,groundwaterAllBasins,publicWatSup,MGD,3.66
2021,groundwaterAllBasins,residential,MGD,5.809322828000001
2021,in-county treatment,Disposal,MGD,454.23276801412464
2021,industrial,Disposal,MGD,22.78182995173501
2021,industrial,energy_services,PJ,139.41286034167695
2021,industrial,rejected_energy,PJ,145.10318117194944
2021,industrial,wastewater,MGD,17.23118840279593
2021,out_metro_elec_import,electricity,PJ,62.9291744442006
2021,publicWatSup,Water Losses,MGD,119.21624826000001
2021,publicWatSup,agricultural,MGD,0.26847395697304216
2021,publicWatSup,commercial,MGD,129.02145269072147
2021,publicWatSup,industrial,MGD,22.248018354530938
2021,publicWatSup,residential,MGD,351.23494641150415
2021,residential,Water Losses,MGD,67.7173624549899
2021,residential,energy_services,PJ,85.44325894571085
2021,residential,rejected_energy,PJ,46.00790866307507
2021,residential,septic,MGD,67.99955104547945
2021,residential,wastewater,MGD,221.32735573903477
2021,subsurface,wastewater,MGD,125.44815669323422
2021,surfaceWater,Basins,MGD,684.3763896737296
2021,transport,energy_services,PJ,321.93310443106225
2021,transport,rejected_energy,PJ,173.34859469364883
2021,wastewater,in-county treatment,MGD,383.49158579912455
2021,wastewater,ww_exports,MGD,70.74118221500001
2021,ww_imports,in-county treatment,MGD,70.74118221500002
2022,Basins,Bowen Plant,MGD,24.5
2022,Basins,Jack McDonough Plant,MGD,11.2
2022,Basins,Yates Plant,MGD,12.7
2022,Basins,industrial,MGD,11.54725
2022,Basins,publicWatSup,MGD,628.2397196092005
2022,Biomass,Small-scale generation,PJ,0.6331477
2022,Biomass,commercial,PJ,0.4936117518081416
2022,Biomass,industrial,PJ,104.12946724959144
2022,Biomass,residential,PJ,3.2302614864137253
2022,Biomass,transport,PJ,20.32853135183943
2022,Bowen Plant,Disposal,MGD,14.52
2022,Bowen Plant,Energy Losses,PJ,55.460680139
2022,Bowen Plant,Water Losses,MGD,9.98
2022,Bowen Plant,elec_own_use,PJ,2.9894497560000075
2022,Bowen Plant,electricity,PJ,30.514147199999996
2022,Coal,Bowen Plant,PJ,88.72516873
2022,Coal,industrial,PJ,3.59536872629863
2022,Energy Storage,Small-scale generation,PJ,0
2022,Jack McDonough,Energy Losses,PJ,67.542002688
2022,Jack McDonough,elec_own_use,PJ,0.9123358320000108
2022,Jack McDonough,electricity,PJ,66.34278359999999
2022,Jack McDonough Plant,Disposal,MGD,3.6999999999999993
2022,Jack McDonough Plant,Water Losses,MGD,7.5
2022,Natural Gas,Jack McDonough,PJ,134.79656297
2022,Natural Gas,On-Site Backup Generation,PJ,0
2022,Natural Gas,Small-scale generation,PJ,0.41547166
2022,Natural Gas,Yates Plant,PJ,16.790455820000002
2022,Natural Gas,commercial,PJ,31.64409818071947
2022,Natural Gas,industrial,PJ,87.5529367330043
2022,Natural Gas,residential,PJ,76.19600579084425
2022,Natural Gas,transport,PJ,5.560439867854393
2022,Petroleum,Bowen Plant,PJ,0.23910836500000002
2022,Petroleum,Jack McDonough,PJ,5.5915e-4
2022,Petroleum,Small-scale generation,PJ,0.002718735
2022,Petroleum,Yates Plant,PJ,0
2022,Petroleum,commercial,PJ,14.135496311556052
2022,Petroleum,industrial,PJ,46.0459793817988
2022,Petroleum,residential,PJ,4.210866731905207
2022,Petroleum,transport,PJ,477.6220401786201
2022,Renewables,Small-scale generation,PJ,1.39489704728
2022,Renewables,commercial,PJ,0.1346888852608359
2022,Renewables,industrial,PJ,0.0046393578624009495
2022,Renewables,residential,PJ,0.5829810092417587
2022,Small-scale generation,commercial,PJ,5.22e-4
2022,Small-scale generation,electricity,PJ,1.7327016
2022,Yates Plant,Disposal,MGD,10.5
2022,Yates Plant,Energy Losses,PJ,11.270036072
2022,Yates Plant,Water Losses,MGD,2.2
2022,Yates Plant,elec_own_use,PJ,0.5463969479999999
2022,Yates Plant,electricity,PJ,4.9740228
2022,agricultural,Water Losses,MGD,1.9603928722095667
2022,agricultural,wastewater,MGD,0
2022,commercial,Water Losses,MGD,39.5286733442218
2022,commercial,energy_services,PJ,70.01342365701258
2022,commercial,rejected_energy,PJ,37.699535815314455
2022,commercial,wastewater,MGD,91.56437849813028
2022,electricity,Bowen Plant,PJ,0.017630742307162533
2022,electricity,Energy Losses,PJ,9.928074920758158
2022,electricity,Jack McDonough Plant,PJ,0.00805976791184573
2022,electricity,Yates Plant,PJ,0.009139201114325068
2022,electricity,agricultural,PJ,0.0015820960192837465
2022,electricity,commercial,PJ,61.304542342982515
2022,electricity,en4water,PJ,3.700463621610323
2022,electricity,government,PJ,0.5671219889910221
2022,electricity,in-county treatment,PJ,1.8930341713224266
2022,electricity,industrial,PJ,44.92718526410921
2022,electricity,publicWatSup,PJ,1.3200403574077177
2022,electricity,residential,PJ,54.75345932080077
2022,electricity,transport,PJ,0.27042202697940543
2022,electricity,ww_exports,PJ,0.39569806602361146
2022,en4water,energy_services,PJ,2.40530135404671
2022,en4water,rejected_energy,PJ,1.2951622675636125
2022,government,energy_services,PJ,0.3686292928441644
2022,government,rejected_energy,PJ,0.1984926961468577
2022,groundwaterAllBasins,agricultural,MGD,1.688
2022,groundwaterAllBasins,industrial,MGD,6.217749999999998
2022,groundwaterAllBasins,publicWatSup,MGD,3.66
2022,groundwaterAllBasins,residential,MGD,5.9032145090000006
2022,in-county treatment,Disposal,MGD,461.7516906984024
2022,industrial,Disposal,MGD,22.85406530019175
2022,industrial,energy_services,PJ,140.24558891894685
2022,industrial,rejected_energy,PJ,145.96989867074063
2022,industrial,wastewater,MGD,17.565921643613812
2022,out_metro_elec_import,electricity,PJ,71.83233506672751
2022,publicWatSup,Water Losses,MGD,121.09464751899999
2022,publicWatSup,agricultural,MGD,0.27239287220956676
2022,publicWatSup,commercial,MGD,131.09305184235208
2022,publicWatSup,industrial,MGD,22.65498694380556
2022,publicWatSup,residential,MGD,356.7846404318332
2022,residential,Water Losses,MGD,68.99380448879101
2022,residential,energy_services,PJ,90.3229497577414
2022,residential,rejected_energy,PJ,48.635434484937655
2022,residential,septic,MGD,68.50487596931507
2022,residential,wastewater,MGD,225.18917448272714
2022,subsurface,wastewater,MGD,127.43221607393124
2022,surfaceWater,Basins,MGD,688.1869696092004
2022,transport,energy_services,PJ,327.4579317264407
2022,transport,rejected_energy,PJ,176.32350169885262
2022,wastewater,in-county treatment,MGD,389.3622482254025
2022,wastewater,ww_exports,MGD,72.38944247299999
2022,ww_imports,in-county treatment,MGD,72.38944247299999
2023,Basins,Bowen Plant,MGD,31.7
2023,Basins,Jack McDonough Plant,MGD,11.2
2023,Basins,Yates Plant,MGD,11.2
2023,Basins,industrial,MGD,11.54725
2023,Basins,publicWatSup,MGD,638.1791812764029
2023,Biomass,Small-scale generation,PJ,0.764637625
2023,Biomass,commercial,PJ,0.49354063805308757
2023,Biomass,industrial,PJ,99.67590841484453
2023,Biomass,residential,PJ,2.745629985325501
2023,Biomass,transport,PJ,22.405642083502798
2023,Bowen Plant,Disposal,MGD,17.5
2023,Bowen Plant,Energy Losses,PJ,65.8157581
2023,Bowen Plant,Water Losses,MGD,14.2
2023,Bowen Plant,elec_own_use,PJ,3.393160199999995
2023,Bowen Plant,electricity,PJ,36.8211348
2023,Coal,Bowen Plant,PJ,105.86951796999999
2023,Coal,industrial,PJ,2.415867637218522
2023,Energy Storage,Small-scale generation,PJ,0
2023,Jack McDonough,Energy Losses,PJ,65.09781900500002
