county,year,source,target,units,value
Bartow,2020,industrial,rejected_energy,PJ,2.71473199644561
Bartow,2020,industrial,wastewater,MGD,4.176361539726027
Bartow,2020,publicWatSup,Water Losses,MGD,7.04288964
Bartow,2020,publicWatSup,agricultural,MGD,0.031688579
Bartow,2020,publicWatSup,commercial,MGD,2.7318188797260277
Bartow,2020,publicWatSup,industrial,MGD,7.418906161000001
Bartow,2020,publicWatSup,residential,MGD,6.047967980130822
Bartow,2020,residential,Water Losses,MGD,1.2312654346239729
Bartow,2020,residential,energy_services,PJ,1.6193430067588388
Bartow,2020,residential,rejected_energy,PJ,0.8719539267162978
Bartow,2020,residential,septic,MGD,3.621691805479453
Bartow,2020,residential,wastewater,MGD,1.546767666027396
Bartow,2020,subsurface,wastewater,MGD,1.6909896170958905
Bartow,2020,transport,energy_services,PJ,6.014496044334829
Bartow,2020,transport,rejected_energy,PJ,3.2385747931033695
Bartow,2020,treat_groundwater,industrial,PJ,1.942240225366239e-4
Bartow,2020,treat_groundwater,publicWatSup,PJ,5.92614e-5
Bartow,2020,treat_groundwater,residential,PJ,9.475276315662e-5
Bartow,2020,treat_surfaceWater,Bowen Plant,PJ,0.013676769
Bartow,2020,treat_surfaceWater,industrial,PJ,7.126059084706098e-4
Bartow,2020,treat_surfaceWater,publicWatSup,PJ,0.012268259355714623
Bartow,2020,wastewater,ADAIRSVILLE NORTH WPCP,MGD,0.8137355318647984
Bartow,2020,wastewater,ADAIRSVILLE SOUTH WPCP,MGD,0.2758528149744613
Bartow,2020,wastewater,BARTOW SOUTHEAST WPCP,MGD,0.009333281395800372
Bartow,2020,wastewater,BARTOW TWO RUN WPCP,MGD,0.05862816992352777
Bartow,2020,wastewater,CARTERSVILLE JAMES R. STAFFORD WPCP,MGD,8.74306110161906
Bartow,2020,wastewater,COBB NORTHWEST WRF,MGD,0.108030944
Bartow,2020,wastewater,EMERSON HENRY JORDAN WWTP,MGD,0.13729585879769277
Bartow,2021,ADAIRSVILLE NORTH WPCP,Oothkalooga Creek_ds,MGD,0.8231750146364782
Bartow,2021,ADAIRSVILLE SOUTH WPCP,Oothkalooga Creek_ds,MGD,0.27905275868160595
Bartow,2021,Allatoona Lake,publicWatSup,MGD,19.6766837924792
Bartow,2021,BARTOW SOUTHEAST WPCP,Etowah River_ds,MGD,0.009441549187348075
Bartow,2021,BARTOW TWO RUN WPCP,Two Run Creek_ds,MGD,0.05930826754524524
Bartow,2021,Basins,Bowen Plant,MGD,28.4
Bartow,2021,Basins,industrial,MGD,1.339056896237311
Bartow,2021,Biomass,commercial,PJ,0.009707562451005649
Bartow,2021,Biomass,industrial,PJ,1.9698650804211617
Bartow,2021,Biomass,residential,PJ,0.05042509255276566
Bartow,2021,Biomass,transport,PJ,0.40695837224774517
Bartow,2021,Bolivar Springs,publicWatSup,MGD,0.6614011358816538
Bartow,2021,Bowen Plant,Disposal,MGD,21.4
Bartow,2021,Bowen Plant,Energy Losses,PJ,60.82663341899998
Bartow,2021,Bowen Plant,Water Losses,MGD,7
Bartow,2021,Bowen Plant,elec_own_use,PJ,3.202428276000001
Bartow,2021,Bowen Plant,electricity,PJ,34.027585200000004
Bartow,2021,CARTERSVILLE JAMES R. STAFFORD WPCP,Etowah River_ds,MGD,8.844482228519281
Bartow,2021,Coal,Bowen Plant,PJ,97.84400848
Bartow,2021,Coal,industrial,PJ,0.07872345058033407
Bartow,2021,EMERSON HENRY JORDAN WWTP,Pumpkinvine Creek_ds,MGD,0.13888851616976772
Bartow,2021,Etowah River,publicWatSup,MGD,0
Bartow,2021,Lewis Spring,publicWatSup,MGD,2.6456045435266153
Bartow,2021,Moss Springs,publicWatSup,MGD,0.3307005679408269
Bartow,2021,Natural Gas,commercial,PJ,0.5912610551164468
Bartow,2021,Natural Gas,industrial,PJ,1.8045111255992836
Bartow,2021,Natural Gas,residential,PJ,1.4109264120130913
Bartow,2021,Natural Gas,transport,PJ,0.08787784466820979
Bartow,2021,Petroleum,Bowen Plant,PJ,0.212638415
Bartow,2021,Petroleum,commercial,PJ,0.26783110570132124
Bartow,2021,Petroleum,industrial,PJ,0.8861323319801782
Bartow,2021,Petroleum,residential,PJ,0.08566517121569006
Bartow,2021,Petroleum,transport,PJ,9.24944142838763
Bartow,2021,Renewables,Small-scale generation,PJ,0.6089796798199999
Bartow,2021,Renewables,commercial,PJ,0.002395752868403623
Bartow,2021,Renewables,industrial,PJ,2.2578263095646248e-4
Bartow,2021,Renewables,residential,PJ,0.009162413471991817
Bartow,2021,Small-scale generation,electricity,PJ,0.6090372
Bartow,2021,agricultural,Water Losses,MGD,0.44004447799999996
Bartow,2021,agricultural,wastewater,MGD,0
Bartow,2021,commercial,Water Losses,MGD,0
Bartow,2021,commercial,energy_services,PJ,1.3203535368859776
Bartow,2021,commercial,rejected_energy,PJ,0.7109595967847571
Bartow,2021,commercial,wastewater,MGD,2.7622330805479454
Bartow,2021,distribute_groundwater,industrial,PJ,9.85331626527263e-4
Bartow,2021,distribute_groundwater,publicWatSup,PJ,3.006432e-4
Bartow,2021,distribute_groundwater,residential,PJ,4.8609573549264007e-4
Bartow,2021,distribute_surfaceWater,industrial,PJ,0.0018299015921220598
Bartow,2021,distribute_surfaceWater,publicWatSup,PJ,0.03186051285282775
Bartow,2021,electricity,Energy Losses,PJ,0.19125355920295428
Bartow,2021,electricity,commercial,PJ,1.1601176575335572
Bartow,2021,electricity,distribute_groundwater,PJ,0.0017720705620199028
Bartow,2021,electricity,distribute_surfaceWater,PJ,0.033690414444949815
Bartow,2021,electricity,elec_export,PJ,31.25780952074781
Bartow,2021,electricity,en4water,PJ,0.11767228724052486
Bartow,2021,electricity,en_wwdist,PJ,0.01402809367654656
Bartow,2021,electricity,en_wwtreat,PJ,0.02805618735309312
Bartow,2021,electricity,extract_groundwater,PJ,0.0015977840810073357
Bartow,2021,electricity,extract_surfaceWater,PJ,0.009944981896543942
Bartow,2021,electricity,government,PJ,0.011689540895621412
Bartow,2021,electricity,industrial,PJ,0.8613586264366211
Bartow,2021,electricity,residential,PJ,1.0314293344402459
Bartow,2021,electricity,transport,PJ,0.0052918735026677025
Bartow,2021,electricity,treat_groundwater,PJ,3.493023703981539e-4
Bartow,2021,electricity,treat_surfaceWater,PJ,0.028233452855966033
Bartow,2021,en4water,energy_services,PJ,0.07648698670634116
Bartow,2021,en4water,rejected_energy,PJ,0.0411853005341837
Bartow,2021,en_wwdist,in-county treatment,PJ,0.01402809367654656
Bartow,2021,en_wwtreat,in-county treatment,PJ,0.02805618735309312
Bartow,2021,extract_groundwater,agricultural,PJ,3.8240235537190085e-4
Bartow,2021,extract_groundwater,industrial,PJ,6.757936609515352e-4
Bartow,2021,extract_groundwater,publicWatSup,PJ,2.0619734848484846e-4
Bartow,2021,extract_groundwater,residential,PJ,3.333907161990513e-4
Bartow,2021,extract_surfaceWater,Bowen Plant,PJ,0.005323640633608817
Bartow,2021,extract_surfaceWater,industrial,PJ,2.5100907406771307e-4
Bartow,2021,extract_surfaceWater,publicWatSup,PJ,0.004370332188867414
Bartow,2021,government,energy_services,PJ,0.0075982015821539186
Bartow,2021,government,rejected_energy,PJ,0.0040913393134674935
Bartow,2021,groundwater,agricultural,MGD,0.408
Bartow,2021,groundwater,industrial,MGD,0.721030636435475
Bartow,2021,groundwater,publicWatSup,MGD,0.22
Bartow,2021,groundwater,residential,MGD,0.355707569
Bartow,2021,industrial,Disposal,MGD,5.339201338070048
Bartow,2021,industrial,energy_services,PJ,2.744400034847782
Bartow,2021,industrial,rejected_energy,PJ,2.856416362800753
Bartow,2021,industrial,wastewater,MGD,4.22311537260274
Bartow,2021,publicWatSup,Water Losses,MGD,7.12198955
Bartow,2021,publicWatSup,agricultural,MGD,0.032044478
Bartow,2021,publicWatSup,commercial,MGD,2.7622330805479454
Bartow,2021,publicWatSup,industrial,MGD,7.502229178
Bartow,2021,publicWatSup,residential,MGD,6.115893753280353
Bartow,2021,residential,Water Losses,MGD,1.2493701694036403
Bartow,2021,residential,energy_services,PJ,1.6819454754009602
Bartow,2021,residential,rejected_energy,PJ,0.9056629482928246
Bartow,2021,residential,septic,MGD,3.653196290410959
Bartow,2021,residential,wastewater,MGD,1.5690348624657529
Bartow,2021,subsurface,wastewater,MGD,1.7108766631232877
Bartow,2021,transport,energy_services,PJ,6.337220187224064
Bartow,2021,transport,rejected_energy,PJ,3.412349331582188
Bartow,2021,treat_groundwater,industrial,PJ,1.942240225366239e-4
Bartow,2021,treat_groundwater,publicWatSup,PJ,5.92614e-5
Bartow,2021,treat_groundwater,residential,PJ,9.581694786153e-5
Bartow,2021,treat_surfaceWater,Bowen Plant,PJ,0.015113628
Bartow,2021,treat_surfaceWater,industrial,PJ,7.126059084706098e-4
Bartow,2021,treat_surfaceWater,publicWatSup,PJ,0.012407218947495424
Bartow,2021,wastewater,ADAIRSVILLE NORTH WPCP,MGD,0.8231750146364782
Bartow,2021,wastewater,ADAIRSVILLE SOUTH WPCP,MGD,0.27905275868160595
Bartow,2021,wastewater,BARTOW SOUTHEAST WPCP,MGD,0.009441549187348075
Bartow,2021,wastewater,BARTOW TWO RUN WPCP,MGD,0.05930826754524524
Bartow,2021,wastewater,CARTERSVILLE JAMES R. STAFFORD WPCP,MGD,8.844482228519281
Bartow,2021,wastewater,COBB NORTHWEST WRF,MGD,0.110911644
Bartow,2021,wastewater,EMERSON HENRY JORDAN WWTP,MGD,0.13888851616976772
Bartow,2022,ADAIRSVILLE NORTH WPCP,Oothkalooga Creek_ds,MGD,0.8343395644868904
Bartow,2022,ADAIRSVILLE SOUTH WPCP,Oothkalooga Creek_ds,MGD,0.28283749264437286
Bartow,2022,Allatoona Lake,publicWatSup,MGD,19.935558958425965
Bartow,2022,BARTOW SOUTHEAST WPCP,Etowah River_ds,MGD,0.009569602936177923
Bartow,2022,BARTOW TWO RUN WPCP,Two Run Creek_ds,MGD,0.06011265312276776
Bartow,2022,Basins,Bowen Plant,MGD,24.5
Bartow,2022,Basins,industrial,MGD,1.339056896237311
Bartow,2022,Biomass,commercial,PJ,0.009743432225968173
Bartow,2022,Biomass,industrial,PJ,2.055417852504687
Bartow,2022,Biomass,residential,PJ,0.06376232686871017
Bartow,2022,Biomass,transport,PJ,0.4012661099630848
Bartow,2022,Bolivar Springs,publicWatSup,MGD,0.6701028221319653
Bartow,2022,Bowen Plant,Disposal,MGD,14.52
Bartow,2022,Bowen Plant,Energy Losses,PJ,55.460680139
Bartow,2022,Bowen Plant,Water Losses,MGD,9.98
Bartow,2022,Bowen Plant,elec_own_use,PJ,2.9894497560000075
Bartow,2022,Bowen Plant,electricity,PJ,30.514147199999996
Bartow,2022,CARTERSVILLE JAMES R. STAFFORD WPCP,Etowah River_ds,MGD,8.9644380835752
Bartow,2022,Coal,Bowen Plant,PJ,88.72516873
Bartow,2022,Coal,industrial,PJ,0.07096920076099053
Bartow,2022,EMERSON HENRY JORDAN WWTP,Pumpkinvine Creek_ds,MGD,0.14077223194691862
Bartow,2022,Etowah River,publicWatSup,MGD,0
Bartow,2022,Lewis Spring,publicWatSup,MGD,2.680411288527861
Bartow,2022,Moss Springs,publicWatSup,MGD,0.33505141106598263
Bartow,2022,Natural Gas,commercial,PJ,0.6246247680415082
Bartow,2022,Natural Gas,industrial,PJ,1.728212713975414
Bartow,2022,Natural Gas,residential,PJ,1.504037567162971
Bartow,2022,Natural Gas,transport,PJ,0.10975785888515209
Bartow,2022,Petroleum,Bowen Plant,PJ,0.23910836500000002
Bartow,2022,Petroleum,commercial,PJ,0.27902141670565844
Bartow,2022,Petroleum,industrial,PJ,0.9089043721942535
Bartow,2022,Petroleum,residential,PJ,0.08311855312320336
Bartow,2022,Petroleum,transport,PJ,9.427810340945527
Bartow,2022,Renewables,Small-scale generation,PJ,0.52684983726
Bartow,2022,Renewables,commercial,PJ,0.002480775634966229
Bartow,2022,Renewables,industrial,PJ,8.357190987215743e-4
Bartow,2022,Renewables,residential,PJ,0.012168883719410108
Bartow,2022,Small-scale generation,electricity,PJ,0.5268996
Bartow,2022,agricultural,Water Losses,MGD,0.440462482
Bartow,2022,agricultural,wastewater,MGD,0
Bartow,2022,commercial,Water Losses,MGD,0
Bartow,2022,commercial,energy_services,PJ,1.381876900323266
Bartow,2022,commercial,rejected_energy,PJ,0.7440875617125278
Bartow,2022,commercial,wastewater,MGD,2.798005722739726
Bartow,2022,distribute_groundwater,industrial,PJ,9.85331626527263e-4
Bartow,2022,distribute_groundwater,publicWatSup,PJ,3.006432e-4
Bartow,2022,distribute_groundwater,residential,PJ,4.9243659712416e-4
Bartow,2022,distribute_surfaceWater,industrial,PJ,0.0018299015921220598
Bartow,2022,distribute_surfaceWater,publicWatSup,PJ,0.032279683869596204
Bartow,2022,electricity,Energy Losses,PJ,0.19855384607776244
Bartow,2022,electricity,commercial,PJ,1.210094069427693
Bartow,2022,electricity,distribute_groundwater,PJ,0.0017784114236514227
Bartow,2022,electricity,distribute_surfaceWater,PJ,0.034109585461718266
Bartow,2022,electricity,elec_export,PJ,27.533262185959526
Bartow,2022,electricity,en4water,PJ,0.11609325356961304
Bartow,2022,electricity,en_wwdist,PJ,0.014219976709036799
Bartow,2022,electricity,en_wwtreat,PJ,0.028439953418073597
Bartow,2022,electricity,extract_groundwater,PJ,0.0016021329864724476
Bartow,2022,electricity,extract_surfaceWater,PJ,0.009271416595810105
Bartow,2022,electricity,government,PJ,0.011194455244124825
Bartow,2022,electricity,industrial,PJ,0.8860291058095163
Bartow,2022,electricity,residential,PJ,1.0804820071642331
Bartow,2022,electricity,transport,PJ,0.005337876747527055
Bartow,2022,electricity,treat_groundwater,PJ,3.505522517774439e-4
Bartow,2022,electricity,treat_surfaceWater,PJ,0.026321224723072977
Bartow,2022,en4water,energy_services,PJ,0.07546061482024849
Bartow,2022,en4water,rejected_energy,PJ,0.04063263874936456
Bartow,2022,en_wwdist,in-county treatment,PJ,0.014219976709036799
Bartow,2022,en_wwtreat,in-county treatment,PJ,0.028439953418073597
Bartow,2022,extract_groundwater,agricultural,PJ,3.8240235537190085e-4
Bartow,2022,extract_groundwater,industrial,PJ,6.757936609515352e-4
Bartow,2022,extract_groundwater,publicWatSup,PJ,2.0619734848484846e-4
Bartow,2022,extract_groundwater,residential,PJ,3.377396216641632e-4
Bartow,2022,extract_surfaceWater,Bowen Plant,PJ,0.0045925773071625355
Bartow,2022,extract_surfaceWater,industrial,PJ,2.5100907406771307e-4
Bartow,2022,extract_surfaceWater,publicWatSup,PJ,0.004427830214579855
Bartow,2022,government,energy_services,PJ,0.007276395908681137
Bartow,2022,government,rejected_energy,PJ,0.003918059335443689
Bartow,2022,groundwater,agricultural,MGD,0.408
Bartow,2022,groundwater,industrial,MGD,0.721030636435475
Bartow,2022,groundwater,publicWatSup,MGD,0.22
Bartow,2022,groundwater,residential,MGD,0.360347586
Bartow,2022,industrial,Disposal,MGD,5.382122169987856
Bartow,2022,industrial,energy_services,PJ,2.768680792528355
Bartow,2022,industrial,rejected_energy,PJ,2.8816881718152274
Bartow,2022,industrial,wastewater,MGD,4.278057150684932
Bartow,2022,publicWatSup,Water Losses,MGD,7.214892136
Bartow,2022,publicWatSup,agricultural,MGD,0.032462482
Bartow,2022,publicWatSup,commercial,MGD,2.798005722739726
Bartow,2022,publicWatSup,industrial,MGD,7.600091788
Bartow,2022,publicWatSup,residential,MGD,6.19567235141205
Bartow,2022,residential,Water Losses,MGD,1.2702500149462956
Bartow,2022,residential,energy_services,PJ,1.7833200697250433
Bartow,2022,residential,rejected_energy,PJ,0.9602492683134848
Bartow,2022,residential,septic,MGD,3.690438498630137
Bartow,2022,residential,wastewater,MGD,1.5953314238356167
Bartow,2022,subsurface,wastewater,MGD,1.734278859452055
